x,y
284,-296
78,-297
79,-297
80,-297
284,-297
80,-298
81,-298
285,-298
81,-299
285,-299
82,-300
284,-300
82,-301
283,-301
284,-301
83,-302
282,-302
283,-302
84,-303
148,-303
281,-303
282,-303
84,-304
144,-304
145,-304
146,-304
147,-304
149,-304
281,-304
85,-305
143,-305
144,-305
150,-305
279,-305
280,-305
84,-306
85,-306
86,-306
140,-306
141,-306
142,-306
150,-306
277,-306
278,-306
86,-307
110,-307
111,-307
112,-307
113,-307
114,-307
139,-307
140,-307
150,-307
275,-307
276,-307
87,-308
109,-308
115,-308
116,-308
137,-308
138,-308
139,-308
150,-308
273,-308
274,-308
88,-309
89,-309
90,-309
108,-309
116,-309
117,-309
135,-309
136,-309
150,-309
271,-309
272,-309
90,-310
91,-310
92,-310
93,-310
104,-310
105,-310
106,-310
107,-310
117,-310
118,-310
119,-310
132,-310
133,-310
134,-310
135,-310
151,-310
270,-310
271,-310
94,-311
95,-311
96,-311
97,-311
102,-311
103,-311
120,-311
121,-311
122,-311
123,-311
124,-311
128,-311
129,-311
130,-311
131,-311
151,-311
269,-311
270,-311
98,-312
99,-312
100,-312
101,-312
125,-312
126,-312
127,-312
128,-312
150,-312
268,-312
269,-312
150,-313
268,-313
150,-314
267,-314
149,-315
267,-315
149,-316
267,-316
148,-317
267,-317
148,-318
266,-318
148,-319
265,-319
147,-320
264,-320
147,-321
264,-321
146,-322
264,-322
146,-323
263,-323
264,-323
146,-324
261,-324
262,-324
146,-325
261,-325
146,-326
260,-326
146,-327
258,-327
259,-327
260,-327
145,-328
256,-328
257,-328
145,-329
255,-329
256,-329
146,-330
250,-330
251,-330
252,-330
253,-330
254,-330
146,-331
147,-331
248,-331
249,-331
147,-332
148,-332
246,-332
247,-332
148,-333
149,-333
245,-333
246,-333
149,-334
245,-334
149,-335
243,-335
244,-335
150,-336
243,-336
150,-337
151,-337
242,-337
243,-337
151,-338
241,-338
242,-338
152,-339
240,-339
152,-340
239,-340
152,-341
239,-341
153,-342
237,-342
238,-342
153,-343
236,-343
237,-343
153,-344
235,-344
236,-344
153,-345
229,-345
230,-345
231,-345
232,-345
233,-345
234,-345
235,-345
153,-346
227,-346
228,-346
153,-347
225,-347
226,-347
227,-347
154,-348
225,-348
154,-349
224,-349
154,-350
223,-350
154,-351
222,-351
155,-352
221,-352
222,-352
156,-353
157,-353
219,-353
220,-353
157,-354
158,-354
218,-354
219,-354
158,-355
159,-355
217,-355
218,-355
160,-356
161,-356
215,-356
216,-356
162,-357
163,-357
214,-357
163,-358
164,-358
194,-358
195,-358
196,-358
197,-358
198,-358
211,-358
212,-358
213,-358
164,-359
165,-359
193,-359
194,-359
199,-359
200,-359
201,-359
202,-359
203,-359
204,-359
205,-359
206,-359
207,-359
209,-359
210,-359
165,-360
166,-360
192,-360
193,-360
208,-360
166,-361
167,-361
191,-361
192,-361
167,-362
168,-362
189,-362
190,-362
168,-363
169,-363
170,-363
171,-363
172,-363
187,-363
188,-363
189,-363
173,-364
174,-364
183,-364
185,-364
186,-364
172,-365
174,-365
175,-365
176,-365
181,-365
182,-365
184,-365
177,-366
178,-366
179,-366
180,-366
